setid,"Temperature, K",Mole fraction of water,"Pressure, kPa",Solvent: Mole fraction of tetrabutylphosphonium bromide,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lenAG,293.15,0,101.3,0.333,1116.5,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,293.15,0.097,101.3,0.333,1115.9,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,293.15,0.221,101.3,0.333,1114.8,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,293.15,0.296,101.3,0.333,1113.8,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,293.15,0.446,101.3,0.333,1111.2,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,293.15,0.482,101.3,0.333,1110.6,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,293.15,0.608,101.3,0.333,1107.2,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,293.15,0.705,101.3,0.333,1102.5,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,293.15,0.814,101.3,0.333,1091.1,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,293.15,0.89,101.3,0.333,1073.5,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,293.15,1,101.3,0.333,998.2,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,298.15,0,101.3,0.333,1113,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,298.15,0.097,101.3,0.333,1112.3,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,298.15,0.221,101.3,0.333,1111.2,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,298.15,0.296,101.3,0.333,1110.2,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,298.15,0.446,101.3,0.333,1107.6,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,298.15,0.482,101.3,0.333,1107,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,298.15,0.608,101.3,0.333,1103.5,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,298.15,0.705,101.3,0.333,1098.8,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,298.15,0.814,101.3,0.333,1087.7,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,298.15,0.89,101.3,0.333,1069.6,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,298.15,1,101.3,0.333,997,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,303.15,0,101.3,0.333,1109.7,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,303.15,0.097,101.3,0.333,1108.9,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,303.15,0.221,101.3,0.333,1107.7,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,303.15,0.296,101.3,0.333,1106.9,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,303.15,0.446,101.3,0.333,1104.1,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,303.15,0.482,101.3,0.333,1103.5,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,303.15,0.608,101.3,0.333,1100,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,303.15,0.705,101.3,0.333,1095.3,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
lenAG,303.15,0.814,101.3,0.333,1084.4,Al-Ghamdi et al. (2022),Density,Liquid,ABNNVs,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],tetrabutylphosphonium bromide,AARkmK,OCC(O)CO,glycerol,AADYJk,O,water
