setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium thiocyanate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RzoHF,298.15,0.2,101,1075.8,Anantharaj and Banerjee (2011),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
RzoHF,298.15,0.3,101,1089.3,Anantharaj and Banerjee (2011),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
RzoHF,298.15,0.4,101,1099.7,Anantharaj and Banerjee (2011),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
RzoHF,298.15,0.5,101,1104.2,Anantharaj and Banerjee (2011),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
RzoHF,298.15,0.6,101,1106.6,Anantharaj and Banerjee (2011),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
RzoHF,298.15,0.7,101,1110.4,Anantharaj and Banerjee (2011),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
RzoHF,298.15,0.8,101,1111.2,Anantharaj and Banerjee (2011),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
RzoHF,303.15,0.2,101,1072.5,Anantharaj and Banerjee (2011),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
RzoHF,303.15,0.3,101,1086.1,Anantharaj and Banerjee (2011),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
RzoHF,303.15,0.4,101,1096.6,Anantharaj and Banerjee (2011),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
RzoHF,303.15,0.5,101,1101,Anantharaj and Banerjee (2011),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
RzoHF,303.15,0.6,101,1103.5,Anantharaj and Banerjee (2011),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
RzoHF,303.15,0.7,101,1107.4,Anantharaj and Banerjee (2011),Density,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
